Date,Total (house and land),House only,Land only
01-Jan-81,38.2,36.1,40.6
01-Feb-81,38.7,36.5,41
01-Mar-81,39.3,37.3,41.1
01-Apr-81,39.9,38.1,41.2
01-May-81,40.6,38.9,41.5
01-Jun-81,40.8,39.1,41.6
01-Jul-81,40.8,39.2,41.6
01-Aug-81,40.6,39,41.5
01-Sep-81,40.4,39,40.9
01-Oct-81,40.3,38.8,40.9
01-Nov-81,40.2,38.8,40.4
01-Dec-81,40.3,38.9,40.5
01-Jan-82,40.3,39.1,40.5
01-Feb-82,40.3,38.9,40.6
01-Mar-82,40.1,38.6,40.7
01-Apr-82,39.9,38.5,40.6
01-May-82,39.6,38.1,40.1
01-Jun-82,39.3,38.1,39.5
01-Jul-82,39,38,38.5
01-Aug-82,38.8,37.8,38.2
01-Sep-82,38.4,37.6,37.5
01-Oct-82,38.3,37.4,37.5
01-Nov-82,38,37.3,37
01-Dec-82,37.9,37.2,37
01-Jan-83,37.9,37.3,36.8
01-Feb-83,37.9,37.2,36.8
01-Mar-83,37.8,37.2,37
01-Apr-83,37.8,37,37.2
01-May-83,37.7,36.9,37.2
01-Jun-83,37.8,37,37.4
01-Jul-83,37.8,37,37.4
01-Aug-83,38,37.2,37.2
01-Sep-83,38,37.2,37.3
01-Oct-83,37.9,37.2,37.2
01-Nov-83,38,37.3,37.4
01-Dec-83,37.9,37.2,37.2
01-Jan-84,38,37.2,37.3
01-Feb-84,38,37.4,37.3
01-Mar-84,38.1,37.5,37.3
01-Apr-84,38.2,37.6,37.4
01-May-84,38.2,37.6,37.4
01-Jun-84,38.1,37.4,37.4
01-Jul-84,38.1,37.4,37.4
01-Aug-84,38,37.3,37.4
01-Sep-84,37.9,37.2,37.3
01-Oct-84,37.9,37.2,37.2
01-Nov-84,37.8,37.2,37
01-Dec-84,37.9,37.3,37
01-Jan-85,38,37.4,37.1
01-Feb-85,38,37.4,37.2
01-Mar-85,38.1,37.5,37.3
01-Apr-85,38.1,37.5,37.3
01-May-85,38.1,37.4,37.5
01-Jun-85,38.3,37.6,37.8
01-Jul-85,38.4,37.7,37.8
01-Aug-85,38.5,38,38
01-Sep-85,38.8,38.1,38.2
01-Oct-85,38.9,38.4,38.2
01-Nov-85,39.2,38.6,38.3
01-Dec-85,39.3,38.7,38.4
01-Jan-86,39.8,39.4,38.8
01-Feb-86,40.3,39.9,39.2
01-Mar-86,40.6,40.2,39.3
01-Apr-86,40.8,40.6,39.3
01-May-86,41.1,40.9,39.5
01-Jun-86,41.3,41.2,39.7
01-Jul-86,41.6,41.4,39.8
01-Aug-86,42,41.9,40.1
01-Sep-86,42.8,42.9,40.6
01-Oct-86,43.2,43.4,40.6
01-Nov-86,43.8,44.1,41
01-Dec-86,44,44.4,41
01-Jan-87,44.4,44.8,41.1
01-Feb-87,45.2,45.9,41.3
01-Mar-87,46.6,47.3,42.7
01-Apr-87,47.1,48,43.1
01-May-87,47.5,48.3,43.5
01-Jun-87,47.7,48.6,43.6
01-Jul-87,48,48.8,43.9
01-Aug-87,48.2,49,44.2
01-Sep-87,48.7,49.2,45.4
01-Oct-87,48.9,49.3,45.6
01-Nov-87,49.1,49.5,45.9
01-Dec-87,49.1,49.5,46.1
01-Jan-88,49.3,49.7,46.4
01-Feb-88,49.8,50.1,46.9
01-Mar-88,50.3,50.6,47.4
01-Apr-88,51.2,51.5,48.3
01-May-88,51.9,52.1,49.3
01-Jun-88,52.3,52.4,50.3
01-Jul-88,52.5,52.5,50.6
01-Aug-88,53,53,50.9
01-Sep-88,53.9,53.8,52.3
01-Oct-88,54.3,54.1,52.8
01-Nov-88,55,54.4,54.3
01-Dec-88,55.8,54.6,56.2
01-Jan-89,56.3,54.7,57.6
01-Feb-89,57.7,55.6,60.3
01-Mar-89,58.6,56.1,62.5
01-Apr-89,59.1,56.4,63.4
01-May-89,59.3,56.5,63.6
01-Jun-89,59.6,56.9,64
01-Jul-89,59.8,56.9,64.5
01-Aug-89,59.8,56.9,64.7
01-Sep-89,60.1,57.1,65.2
01-Oct-89,60.4,57.4,65.5
01-Nov-89,60.8,57.6,66.6
01-Dec-89,61.1,57.9,67
01-Jan-90,61.7,58.4,67.6
01-Feb-90,61.8,58.4,68
01-Mar-90,61.9,58.5,68.4
01-Apr-90,61.8,58.3,68.5
01-May-90,61.5,57.9,68.6
01-Jun-90,60.8,56.8,68.3
01-Jul-90,60.4,56.3,68.3
01-Aug-90,59.8,55.7,67.6
01-Sep-90,59,55,66.6
01-Oct-90,58.6,54.3,66.5
01-Nov-90,58,53.6,66.1
01-Dec-90,57.8,53.4,66.1
01-Jan-91,56.9,52.6,65.1
01-Feb-91,55.8,51.7,63.6
01-Mar-91,56,52,63.8
01-Apr-91,55.8,51.7,63.9
01-May-91,56.2,52.4,64
01-Jun-91,56.2,52.4,64
01-Jul-91,56.3,52.4,64.3
01-Aug-91,56.2,52.3,64.2
01-Sep-91,56.2,52.3,64.2
01-Oct-91,56.2,52.4,64.1
01-Nov-91,55.9,52.1,63.9
01-Dec-91,55.9,52.1,64
01-Jan-92,55.8,52,63.9
01-Feb-92,55.8,51.8,64
01-Mar-92,55.9,51.9,64.3
01-Apr-92,56,52,64.7
01-May-92,56,51.9,64.9
01-Jun-92,56.2,52,65.1
01-Jul-92,56.3,52,66
01-Aug-92,56.3,51.9,65.9
01-Sep-92,56.2,51.7,66
01-Oct-92,56.3,51.7,66.4
01-Nov-92,56.3,52,66.3
01-Dec-92,56.3,51.9,66.4
01-Jan-93,56.2,51.8,66.4
01-Feb-93,56.4,52,66.6
01-Mar-93,56.7,52.3,67
01-Apr-93,57,52.6,67.2
01-May-93,56.8,52.2,67.4
01-Jun-93,56.9,52.4,67.6
01-Jul-93,57,52.3,67.8
01-Aug-93,57.1,52.5,67.8
01-Sep-93,57.1,52.6,67.8
01-Oct-93,57,52.5,67.7
01-Nov-93,57,52.5,67.7
01-Dec-93,56.9,52.4,67.7
01-Jan-94,57,52.4,67.8
01-Feb-94,56.9,52.4,67.6
01-Mar-94,56.9,52.3,67.7
01-Apr-94,56.9,52.4,67.7
01-May-94,56.9,52.3,67.8
01-Jun-94,57,52.4,67.8
01-Jul-94,56.9,52.3,67.8
01-Aug-94,57,52.4,67.8
01-Sep-94,57,52.4,67.8
01-Oct-94,56.9,52.4,67.8
01-Nov-94,56.8,52.3,67.7
01-Dec-94,56.8,52.3,67.6
01-Jan-95,56.8,52.3,67.6
01-Feb-95,56.7,52.2,67.4
01-Mar-95,56.6,52.2,67.4
01-Apr-95,56.5,52.1,67.4
01-May-95,56.4,52,67.2
01-Jun-95,56.3,51.8,67
01-Jul-95,56.2,51.8,66.9
01-Aug-95,56.2,51.8,67
01-Sep-95,56.2,51.7,66.9
01-Oct-95,55.9,51.4,66.6
01-Nov-95,55.6,51.3,66.4
01-Dec-95,55.7,51.3,66.4
01-Jan-96,55.6,51.3,66.4
01-Feb-96,55.4,51,66.4
01-Mar-96,55.3,50.9,66.3
01-Apr-96,55.1,50.6,66.3
01-May-96,55,50.5,66.3
01-Jun-96,55.1,50.6,66.3
01-Jul-96,55,50.6,66.3
